assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Residual activity at human PI3Kgamma at 10 uM in presence of 10 uM ATP relative to control,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,CHEMBL1138050,=,=,Activity,%,5.0,Activity,%,5.0,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,2006
Inhibition of human PI3Kgamma,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,CHEMBL1138050,=,=,IC50,nM,30.0,IC50,nM,30.0,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)o2)S1,2006
Inhibition of human PI3Kgamma,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,CHEMBL1138050,=,=,IC50,nM,5.0,IC50,nM,5.0,COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O,2006
Inhibition of human PI3Kgamma,O=C1NC(=S)S/C1=C\c1ccc(-c2ccc([N+](=O)[O-])cc2Br)o1,CHEMBL1138050,=,=,IC50,nM,3600.0,IC50,uM,3.6,O=C1NC(=S)S/C1=C\c1ccc(-c2ccc([N+](=O)[O-])cc2Br)o1,2006
Inhibition of human PI3Kgamma,O=C1NC(=S)S/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1,CHEMBL1138050,=,=,IC50,nM,920.0,IC50,uM,0.92,O=C1NC(=S)S/C1=C\c1ccc(-c2cccc(C(=O)O)c2)o1,2006
Inhibition of human PI3Kgamma,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,CHEMBL1138050,=,=,IC50,nM,7260.0,IC50,nM,7260.0,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,2006
Inhibition of human PI3Kgamma,O=C1NC(=S)S/C1=C\c1ccc(-c2cc([N+](=O)[O-])ccc2O)o1,CHEMBL1138050,=,=,IC50,nM,200.0,IC50,uM,0.2,O=C1NC(=S)S/C1=C\c1ccc(-c2cc([N+](=O)[O-])ccc2O)o1,2006
Inhibition of human PI3Kgamma,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,CHEMBL1138050,=,=,IC50,nM,29.0,IC50,nM,29.0,O=C1NC(=O)/C(=C/c2ccc(-c3cc(F)cc(F)c3O)s2)S1,2006
Inhibition of human PI3Kgamma,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3F)o2)S1,CHEMBL1138050,=,=,IC50,nM,3800.0,IC50,nM,3800.0,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3F)o2)S1,2006
Inhibition of human PI3Kgamma,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,CHEMBL1138050,=,=,IC50,nM,260.0,IC50,nM,260.0,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(O)cc3F)o2)S1,2006
Inhibition of human PI3Kgamma at 1 uM,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)s2)S1,CHEMBL1138050,=,=,Inhibition,%,4.0,Inhibition,%,4.0,O=C1NC(=O)/C(=C/c2ccc(-c3ccc(F)cc3O)s2)S1,2006
Inhibition of human PI3Kgamma at 1 uM,COc1cc(F)ccc1-c1ccc(/C=C2\SC(=O)NC2=O)o1,CHEMBL1138050,=,=,Inhibition,%,11.0,Inhibition,%,11.0,COc1cc(F)ccc1-c1ccc(/C=C2\SC(=O)NC2=O)o1,2006
Inhibition of human PI3Kgamma,O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,CHEMBL1138050,=,=,IC50,nM,530.0,IC50,nM,530.0,O=C1NC(=O)/C(=C/c2ccc(-c3cc(C(=O)O)ccc3O)o2)S1,2006
Inhibition of human PI3Kgamma,O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,CHEMBL1138050,=,=,IC50,nM,80.0,IC50,nM,80.0,O=C1NC(=O)/C(=C/c2ccc(-c3cccc([N+](=O)[O-])c3O)o2)S1,2006
Inhibition of human PI3Kgamma,O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,CHEMBL1138050,=,=,IC50,nM,20.0,IC50,nM,20.0,O=C1NC(=O)/C(=C/c2ccc(-c3cc(O)ccc3O)o2)S1,2006
