assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Residual activity of CDK8/Cyclin C at 1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,81.0,Residual activity,%,81.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of CDK8/Cyclin C at 10 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,75.0,Residual activity,%,75.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of CDK8/Cyclin C at 0.1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,87.0,Residual activity,%,87.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of CDK8/Cyclin C at 1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,79.0,Residual activity,%,79.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of CDK8/Cyclin C at 10 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,88.0,Residual activity,%,88.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Residual activity of CDK8/Cyclin C at 0.1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,CHEMBL1152560,=,=,Residual activity,%,94.0,Residual activity,%,94.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,2009.0
Residual activity of CDK8/Cyclin C at 1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,CHEMBL1152560,=,=,Residual activity,%,95.0,Residual activity,%,95.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,2009.0
Residual activity of CDK8/Cyclin C at 10 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,CHEMBL1152560,=,=,Residual activity,%,82.0,Residual activity,%,82.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3)ncnc2cc1OCCCN1CCCC1,2009.0
Residual activity of CDK8/Cyclin C at 0.1 uM by microplate scintillation counting,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,CHEMBL1152560,=,=,Residual activity,%,79.0,Residual activity,%,79.0,COc1cc2c(Oc3ccc(-c4nc5ccccc5s4)cc3F)ncnc2cc1OCCCN1CCN(C)CC1,2009.0
Inhibition of CDK8/cyclin C (unknown origin) at 10 uM relative to control,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1c1ccn(C)n1,CHEMBL2401733,=,=,Inhibition,%,7.0,INH,%,7.0,CC[C@@H]1C(=O)N(C)c2cnc(-n3ccnc3-c3ccc(F)cc3)nc2N1c1ccn(C)n1,2013.0
