assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Inhibitory concentration against cyclin-dependent kinase 2,COc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,CHEMBL1136192,=,=,IC50,nM,36000.0,IC50,uM,36.0,COc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Br)c3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,2.0,IC50,nM,2.0,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Br)c3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CCCC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2nc(-c3nccs3)c(Br)cc12)C1CCCC1,2003.0
Inhibition of Cyclin-dependent kinase 2,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,CHEMBL1133758,=,=,IC50,nM,30.0,IC50,uM,0.03,CC(C)C(CO)Nc1nc(NCc2cccc(O)c2)c2ncn(C(C)C)c2n1,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(N(CCCC(F)(F)F)c3ccccc3)n2)cc1,CHEMBL1136192,=,=,IC50,nM,200.0,IC50,uM,0.2,CN(C)CC(O)COc1ccc(Nc2ncc(Br)c(N(CCCC(F)(F)F)c3ccccc3)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3ccc[nH]3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,497.0,IC50,nM,497.0,O=C(Nc1n[nH]c2cc(-c3ccc[nH]3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CCCC1,2003.0
Inhibition of Cyclin-dependent kinase 2,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc21,CHEMBL1133758,=,=,IC50,nM,8000.0,IC50,uM,8.0,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCO)nc21,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,CHEMBL1136192,=,=,IC50,nM,1000.0,IC50,uM,1.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,CHEMBL1136192,=,=,IC50,nM,22000.0,IC50,uM,22.0,Cc1ccc(Cl)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(N(Cc3ccccc3)c3cc(Cl)ccc3Cl)n2)cc1,CHEMBL1136192,>,>,IC50,nM,10000.0,IC50,uM,10.0,CN(C)CC(O)COc1ccc(Nc2nccc(N(Cc3ccccc3)c3cc(Cl)ccc3Cl)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3ccccc3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2cc(-c3ccccc3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1,CHEMBL1136192,>,>,IC50,nM,100000.0,IC50,uM,100.0,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1[nH]nc2cc(-c3ccc(O)nc3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1[nH]nc2cc(-c3ccc(O)nc3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,639.0,IC50,nM,639.0,O=C(Nc1n[nH]c2nc(-c3cccs3)c(Br)cc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1,CHEMBL1136192,=,=,IC50,nM,4000.0,IC50,uM,4.0,CN(C)CC(O)COc1ccc(Nc2nccc(Nc3ccccc3C#N)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1,CHEMBL1136192,=,=,IC50,nM,28000.0,IC50,uM,28.0,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3Br)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,Cc1ccc(F)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,CHEMBL1136192,=,=,IC50,nM,81000.0,IC50,uM,81.0,Cc1ccc(F)c(Nc2cc(Nc3ccc(OCC(O)CN(C)C)cc3)ncn2)c1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,5.0,IC50,nM,5.0,O=C(Nc1n[nH]c2cc(-c3ccc(O)cc3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CCN1CCC(CC(=O)Nc2n[nH]c3nc(-c4cccs4)c(Br)cc23)CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,CCN1CCC(CC(=O)Nc2n[nH]c3nc(-c4cccs4)c(Br)cc23)CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3cccc(F)c3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2cc(-c3cccc(F)c3)ccc12)C1CC1,2003.0
Inhibition of Cyclin-dependent kinase 2 (No Data),CC(C)C(CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,CHEMBL1133758,,,IC50,nM,,IC50,uM,,CC(C)C(CO)Nc1nc(NCc2ccccc2O)c2ncn(C(C)C)c2n1,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3ccco3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,631.0,IC50,nM,631.0,O=C(Nc1n[nH]c2cc(-c3ccco3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(-c3ccccc3)cc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,5.0,IC50,nM,5.0,O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(-c3ccccc3)cc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CS(=O)(=O)Nc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,CS(=O)(=O)Nc1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,2003.0
Inhibition of Cyclin-dependent kinase 2,CC(C)n1cnc2c(NC3CCCC3)nc(NCCCO)nc21,CHEMBL1133758,=,=,IC50,nM,900.0,IC50,uM,0.9,CC(C)n1cnc2c(NC3CCCC3)nc(NCCCO)nc21,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,NS(=O)(=O)c1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,NS(=O)(=O)c1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2nc(-c3ccco3)c(Br)cc12)C1CC1,2003.0
Inhibition of Cyclin-dependent kinase 2,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21,CHEMBL1133758,=,=,IC50,nM,800.0,IC50,uM,0.8,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc21,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCC#N)c3cc(Cl)ccc3Cl)n2)cc1,CHEMBL1136192,=,=,IC50,nM,3000.0,IC50,uM,3.0,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCC#N)c3cc(Cl)ccc3Cl)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,Cc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1,CHEMBL1136192,=,=,IC50,nM,8000.0,IC50,uM,8.0,Cc1cnc(Nc2ccc(OCC(O)CN(C)C)cc2)nc1Nc1ccccc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,484.0,IC50,nM,484.0,O=C(Nc1n[nH]c2cc(-c3ccsc3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccco3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2nc(-c3ccco3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,Cc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,CHEMBL1136192,=,=,IC50,nM,26000.0,IC50,uM,26.0,Cc1ccc(Nc2ccnc(Nc3ccc(OCC(O)CN(C)C)cc3)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3F)ncn2)cc1,CHEMBL1136192,>,>,IC50,nM,100000.0,IC50,uM,100.0,CN(C)CC(O)COc1ccc(Nc2cc(Nc3ccccc3F)ncn2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2cc(-c3cc(F)ccc3F)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1n[nH]c2cc(-c3cc(F)ccc3F)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,CS(=O)(=O)Nc1cccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)c1,2003.0
Inhibition of Cyclin-dependent kinase 2,CC(C)n1cnc2c(N)nc(NCCCO)nc21,CHEMBL1133758,=,=,IC50,nM,2400.0,IC50,uM,2.4,CC(C)n1cnc2c(N)nc(NCCCO)nc21,2000.0
Inhibitory concentration against cyclin-dependent kinase 2,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCCC(F)(F)F)c3cc(Cl)ccc3Cl)n2)cc1,CHEMBL1136192,=,=,IC50,nM,12000.0,IC50,uM,12.0,CN(C)CC(O)COc1ccc(Nc2nccc(N(CCCC(F)(F)F)c3cc(Cl)ccc3Cl)n2)cc1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,CCN1CCN(CCCC(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,CHEMBL1136207,=,=,IC50,nM,60.0,IC50,nM,60.0,CCN1CCN(CCCC(=O)Nc2n[nH]c3nc(-c4ccc(O)cc4)c(Br)cc23)CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1[nH]nc2cc(-c3ccc4ncccc4c3)ccc12)C1CC1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,O=C(Nc1[nH]nc2cc(-c3ccc4ncccc4c3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1,CHEMBL1136207,=,=,IC50,nM,2.0,IC50,nM,2.0,O=C(Nc1n[nH]c2nc(-c3ccc(O)c(Cl)c3)ccc12)C1CC1,2003.0
Inhibitory concentration against cyclin-dependent kinase 2,NS(=O)(=O)c1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,CHEMBL1136207,>,>,IC50,nM,1000.0,IC50,nM,1000.0,NS(=O)(=O)c1ccc(-c2ccc3c(NC(=O)C4CC4)n[nH]c3c2)cc1,2003.0
