assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Inhibition of Mer,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,CHEMBL1139387,=,=,IC50,nM,1.0,IC50,nM,1.0,O=C(Nc1c[nH]nc1-c1nc2ccc(CN3CCOCC3)cc2[nH]1)NC1CC1,2009.0
Inhibition of Mer,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,CHEMBL1140952,=,=,IC50,nM,14.0,IC50,nM,14.0,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,2009.0
Binding affinity to MERTK at 10 uM by Ambit binding assay relative to control,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,CHEMBL1140952,=,=,Activity,%,10.0,Activity,%,10.0,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,2009.0
Binding affinity to Mer at 10 uM by Ambit binding assay relative to control,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,CHEMBL1140952,<,<,Activity,%,1.0,Activity,%,1.0,CCOc1ccn(-c2ccc(F)cc2)c(=O)c1C(=O)Nc1ccc(Oc2ccnc(N)c2Cl)c(F)c1,2009.0
Inhibition of MERTK at 3 uM,CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,CHEMBL1142492,<,<,Inhibition,%,10.0,INH,%,10.0,CN(C)CCOc1cc(-c2cn[nH]c2)ccc1NC(=O)C1COc2ccccc2O1,2008.0
Binding affinity to human MER at 10 uM relative to control,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,CHEMBL1151712,=,=,Activity,%,24.9,Activity,%,24.9,NC(=O)Nc1sc(-c2ccc(F)cc2)cc1C(N)=O,2008.0
Binding affinity to human MER at 10 uM relative to control,NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1,CHEMBL1151712,,,Activity,,,Activity,,,NC(=O)c1ccc(-c2cc(C(N)=O)c(N)c(-c3ccc(S(N)(=O)=O)cc3)c2)cc1,2008.0
Binding affinity to human MER at 10 uM relative to control,N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2,CHEMBL1151712,,,Activity,,,Activity,,,N#Cc1c(NC(=O)c2ccccc2)sc2c1CCCC2,2008.0
Binding affinity to human MER at 10 uM relative to control,N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1,CHEMBL1151712,=,=,Activity,%,13.4,Activity,%,13.4,N#Cc1ccc(-c2cnc3[nH]cc(NC(=O)c4cccnc4)c3c2)cc1,2008.0
Binding affinity to human MER at 10 uM relative to control,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,CHEMBL1151712,=,=,Activity,%,7.8,Activity,%,7.8,O=C1Nc2ccccc2/C1=C/c1ccc[nH]1,2008.0
Binding affinity to human MER at 10 uM relative to control,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,CHEMBL1151712,,,Activity,,,Activity,,,CCS(=O)(=O)Nc1ccc2c(c1)/C(=C(/Nc1ccc(CN3CCCCC3)cc1)c1ccccc1)C(=O)N2,2008.0
Binding affinity to human MER at 10 uM relative to control,CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C,CHEMBL1151712,,,Activity,,,Activity,,,CC(=O)c1c(-c2ccncc2)[nH]c(-c2ccncc2)c1C,2008.0
Binding affinity to human MER at 10 uM relative to control,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,CHEMBL1151712,=,=,Activity,%,7.9,Activity,%,7.9,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,2008.0
Binding affinity to human MER at 10 uM relative to control,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,CHEMBL1151712,,,Activity,,,Activity,,,Cc1ccc(O)cc1Nc1ccnc(Nc2cccc(C(N)=O)c2)n1,2008.0
Binding affinity to human MER at 10 uM relative to control,NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1,CHEMBL1151712,,,Activity,,,Activity,,,NC(=O)c1ccc(Nc2cc(-c3ccc(F)cc3)[nH]n2)cc1,2008.0
Binding affinity to human MER at 10 uM relative to control,Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1,CHEMBL1151712,=,=,Activity,%,0.6,Activity,%,0.6,Nc1ncnc2c1c(-c1cccc(O)c1)cn2C1CCNCC1,2008.0
Binding affinity to human MER at 10 uM relative to control,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,CHEMBL1151712,,,Activity,,,Activity,,,Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,2008.0
Binding affinity to human MER at 10 uM relative to control,Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,CHEMBL1151712,,,Activity,,,Activity,,,Cc1ccc(C(=O)Nc2cccc(C(C)(C)C)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,2008.0
Binding affinity to human MER at 10 uM relative to control,Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,CHEMBL1151712,,,Activity,,,Activity,,,Cc1ccc(NC(=O)c2cccc(N3CCCCC3)c2)cc1-c1ccc(C(=O)NCC2CC2)cc1,2008.0
Binding affinity to human MER at 10 uM relative to control,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1,CHEMBL1151712,=,=,Activity,%,0.3,Activity,%,0.3,CN(C)c1ccc(-c2cc3ncccc3c(NCCCCN)n2)cc1,2008.0
Binding affinity to human MER at 10 uM relative to control,O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1,CHEMBL1151712,,,Activity,,,Activity,,,O=C(Nc1n[nH]c2nc(-c3cccc(O)c3)ccc12)C1CC1,2008.0
Binding affinity to human MER at 10 uM relative to control,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,CHEMBL1151712,,,Activity,,,Activity,,,c1ccc(-c2n[nH]cc2-c2ccnc3ccccc23)nc1,2008.0
Inhibition of Mer assessed as residual activity at 20 uM,O=S(=O)(c1cccc2nonc12)n1ccc2ncc(-c3cnn(C4CCNCC4)c3)cc21,CHEMBL1152913,=,=,Activity,%,19.0,Activity,%,19.0,O=S(=O)(c1cccc2nonc12)n1ccc2ncc(-c3cnn(C4CCNCC4)c3)cc21,2009.0
Binding constant for MERTK kinase domain,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,CHEMBL1150977,=,=,Kd,nM,870.0,Kd,nM,870.0,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,2008.0
Binding constant for MERTK kinase domain,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,CC1(C)CNc2cc(NC(=O)c3cccnc3NCc3ccncc3)ccc21,2008.0
Binding constant for MERTK kinase domain,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,CHEMBL1150977,=,=,Kd,nM,370.0,Kd,nM,370.0,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,2008.0
Binding constant for MERTK kinase domain,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,2008.0
Binding constant for MERTK kinase domain,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,CHEMBL1150977,=,=,Kd,nM,3700.0,Kd,nM,3700.0,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,2008.0
Binding constant for MERTK kinase domain,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,2008.0
Binding constant for MERTK kinase domain,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,CHEMBL1150977,=,=,Kd,nM,1800.0,Kd,nM,1800.0,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,2008.0
Binding constant for MERTK kinase domain,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,CHEMBL1150977,>,>,Kd,nM,10000.0,Kd,uM,10.0,Cn1c(Nc2ccc(C(F)(F)F)cc2)nc2cc(Oc3ccnc(-c4ncc(C(F)(F)F)[nH]4)c3)ccc21,2008.0
