assay_description,canonical_smiles,document_chembl_id,relation,standard_relation,standard_type,standard_units,standard_value,type,units,value,SMILES,year
Binding affinity to K-Ras G12D mutant-GDP complex,Nc1ccc2nc(Cc3c[nH]c4ccccc34)[nH]c2c1,CHEMBL2086330,=,=,Kd,nM,1300000.0,Kd,uM,1300.0,Nc1ccc2nc(Cc3c[nH]c4ccccc34)[nH]c2c1,2012
Binding affinity to K-Ras G12D mutant-GDP complex,CC[C@H](C)[C@H](N)C(=O)Nc1ccc2nc(Cc3c[nH]c4ccccc34)[nH]c2c1,CHEMBL2086330,=,=,Kd,nM,190000.0,Kd,uM,190.0,CC[C@H](C)[C@H](N)C(=O)Nc1ccc2nc(Cc3c[nH]c4ccccc34)[nH]c2c1,2012
Binding affinity to K-Ras G12D mutant-GDP complex,O=C(Nc1ccc2nc(Cc3c[nH]c4ccccc34)[nH]c2c1)[C@@H]1CCCN1,CHEMBL2086330,=,=,Kd,nM,340000.0,Kd,uM,340.0,O=C(Nc1ccc2nc(Cc3c[nH]c4ccccc34)[nH]c2c1)[C@@H]1CCCN1,2012
Inhibition of Ki-Ras,N#Cc1ccc2cc1Oc1ccc(CCC3CCCCC3)c(c1)CN1CCN(CC1=O)Cc1cncn1C2,CHEMBL2203227,=,=,EC50,nM,1065.0,EC50,nM,1065.0,N#Cc1ccc2cc1Oc1ccc(CCC3CCCCC3)c(c1)CN1CCN(CC1=O)Cc1cncn1C2,2011
Inhibition of Ki-Ras,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CCN(CC1=O)Cc1cncn1C2,CHEMBL2203227,>,>,EC50,nM,10000.0,EC50,uM,10.0,N#Cc1ccc2cc1Oc1ccc3cccc(c3c1)N1CCN(CC1=O)Cc1cncn1C2,2011
Inhibition of full-length human KRas4B (amino acids 1 to 188)-SOS interaction assessed as inhibition of SOS-mediated nucleotide release activity,Cc1[nH]c2cc(Cl)cc(Cl)c2c1CCN,CHEMBL2396593,=,=,IC50,nM,155000.0,IC50,uM,155.0,Cc1[nH]c2cc(Cl)cc(Cl)c2c1CCN,2013
Inhibition of full-length human KRas4B (amino acids 1 to 188)-SOS interaction assessed as inhibition of nucleotide exchange activity,Cc1[nH]c2cc(Cl)cc(Cl)c2c1CCN,CHEMBL2396593,=,=,IC50,nM,342000.0,IC50,uM,342.0,Cc1[nH]c2cc(Cl)cc(Cl)c2c1CCN,2013
Binding affinity to KRAS G12D mutant (unknown origin),O=C(Nc1ccc2[nH]c(Cc3c[nH]c4ccccc34)nc2c1)[C@H]1CCCN1,CHEMBL2396593,=,=,Activity,uM,340.0,Activity,uM,340.0,O=C(Nc1ccc2[nH]c(Cc3c[nH]c4ccccc34)nc2c1)[C@H]1CCCN1,2013
Binding affinity to KRAS G12D mutant (unknown origin),CC[C@H](C)[C@H](N)C(=O)Nc1ccc2nc(Cc3c[nH]c4ccccc34)[nH]c2c1,CHEMBL2396593,=,=,Activity,uM,190.0,Activity,uM,190.0,CC[C@H](C)[C@H](N)C(=O)Nc1ccc2nc(Cc3c[nH]c4ccccc34)[nH]c2c1,2013
Binding affinity to KRAS G12D mutant (unknown origin),Cc1[nH]c2ccccc2c1Cc1nc2ccccc2[nH]1,CHEMBL2396593,=,=,Activity,mM,1.3,Activity,mM,1.3,Cc1[nH]c2ccccc2c1Cc1nc2ccccc2[nH]1,2013
Binding affinity to K-Ras (unknown origin) assessed as SOS-mediated nucleotide exchange by fluorescence assay relative to control,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL3108714,=,=,FC,,1.6,FC,,1.6,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,2013
Binding affinity to human K-RAS by NMR analysis,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,CHEMBL3108714,=,=,Kd,nM,600000.0,Kd,uM,600.0,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,2013
Binding affinity to human K-RAS by NMR analysis,Oc1ccc(-c2ccc(O)cc2)cc1,CHEMBL3108714,,,Inhibition,%,,INH,,,Oc1ccc(-c2ccc(O)cc2)cc1,2013
Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,CC(C)[C@@H]1NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,CHEMBL3217533,=,=,IC50,nM,1200.0,IC50,uM,1.2,CC(C)[C@@H]1NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,2013
Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,CCCC[C@H]1NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,CHEMBL3217533,=,=,IC50,nM,10000.0,IC50,uM,10.0,CCCC[C@H]1NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,2013
Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,CC1(C)COC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C1=O,CHEMBL3217533,=,=,IC50,nM,1800.0,IC50,uM,1.8,CC1(C)COC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccc3ccccc3c2)NC(=O)[C@H](CCCN)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C1=O,2013
Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,CHEMBL3217533,=,=,IC50,nM,200.0,IC50,uM,0.2,CC(C)C[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(F)cc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C(=O)C(C)(C)COC1=O,2013
Inhibition of recombinant HA-tagged K-Ras G12V mutant (unknown origin) assessed as disruption of interaction with GST-tagged Raf-RBD after overnight incubation by HTRF assay,CC1(C)COC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C1=O,CHEMBL3217533,=,=,IC50,nM,10000.0,IC50,uM,10.0,CC1(C)COC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CCC(N)=O)NC(=O)C[C@@H](CCc2ccccc2)NC(=O)[C@@H]2CCCCN2C(=O)C1=O,2013
